Jour;Datation;Date_Format_1;Demiheure;Flux;Poids;Commande
Samedi;16/12/2023;20231216;14:00:00;Help Desk;6%;0,902894648
Samedi;16/12/2023;20231216;14:30:00;Help Desk;6%;0,86839448
Samedi;16/12/2023;20231216;15:00:00;Help Desk;6%;0,913833726
Samedi;16/12/2023;20231216;15:30:00;Help Desk;6%;0,881016493
Samedi;16/12/2023;20231216;16:00:00;Help Desk;6%;0,88185796
Samedi;16/12/2023;20231216;16:30:00;Help Desk;5%;0,783406261
Samedi;16/12/2023;20231216;17:00:00;Help Desk;5%;0,682430158
Samedi;16/12/2023;20231216;17:30:00;Help Desk;4%;0,565466173
Samedi;16/12/2023;20231216;18:00:00;Help Desk;3%;0,418209357
Samedi;16/12/2023;20231216;18:30:00;Help Desk;2%;0,276842814
Samedi;16/12/2023;20231216;19:00:00;Help Desk;1%;0,121171323
Samedi;16/12/2023;20231216;19:30:00;Help Desk;0%;0,049646584
Samedi;16/12/2023;20231216;20:00:00;Help Desk;0%;0,005890273
Samedi;16/12/2023;20231216;20:30:00;Help Desk;0%;0,00336587
Samedi;16/12/2023;20231216;21:00:00;Help Desk;0%;0
Samedi;16/12/2023;20231216;21:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;08:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;08:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;09:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;09:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;10:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;10:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;11:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;11:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;12:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;12:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;13:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;13:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;14:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;14:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;15:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;15:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;16:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;16:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;17:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;17:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;18:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;18:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;19:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;19:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;20:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;20:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;21:00:00;HLB;0%;0
Dimanche;17/12/2023;20231217;21:30:00;HLB;0%;0
Dimanche;17/12/2023;20231217;08:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;08:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;09:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;09:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;10:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;10:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;11:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;11:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;12:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;12:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;13:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;13:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;14:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;14:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;15:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;15:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;16:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;16:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;17:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;17:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;18:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;18:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;19:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;19:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;20:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;20:30:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;21:00:00;Help Desk;0%;0
Dimanche;17/12/2023;20231217;21:30:00;Help Desk;0%;0
Lundi;18/12/2023;20231218;08:00:00;HLB;0%;0,498391435
Lundi;18/12/2023;20231218;08:30:00;HLB;0%;0,806919466
Lundi;18/12/2023;20231218;09:00:00;HLB;1%;6,241759401
Lundi;18/12/2023;20231218;09:30:00;HLB;6%;24,99077053
Lundi;18/12/2023;20231218;10:00:00;HLB;7%;30,54427509
Lundi;18/12/2023;20231218;10:30:00;HLB;7%;29,35762882
Lundi;18/12/2023;20231218;11:00:00;HLB;7%;30,47307631
Lundi;18/12/2023;20231218;11:30:00;HLB;6%;27,05553505
Lundi;18/12/2023;20231218;12:00:00;HLB;4%;16,87411002
Lundi;18/12/2023;20231218;12:30:00;HLB;2%;10,53741891
Lundi;18/12/2023;20231218;13:00:00;HLB;3%;11,72406519
Lundi;18/12/2023;20231218;13:30:00;HLB;3%;15,37893571
Lundi;18/12/2023;20231218;14:00:00;HLB;7%;29,35762882
Lundi;18/12/2023;20231218;14:30:00;HLB;7%;31,25626286
Lundi;18/12/2023;20231218;15:00:00;HLB;7%;31,30372871
Lundi;18/12/2023;20231218;15:30:00;HLB;7%;29,64242392
Lundi;18/12/2023;20231218;16:00:00;HLB;6%;27,1030009
Lundi;18/12/2023;20231218;16:30:00;HLB;5%;24,39744739
Lundi;18/12/2023;20231218;17:00:00;HLB;5%;21,1460366
Lundi;18/12/2023;20231218;17:30:00;HLB;4%;19,57966352
Lundi;18/12/2023;20231218;18:00:00;HLB;3%;15,54506619
Lundi;18/12/2023;20231218;18:30:00;HLB;2%;9,754232372
Lundi;18/12/2023;20231218;19:00:00;HLB;1%;4,366858288
Lundi;18/12/2023;20231218;19:30:00;HLB;0%;1,685037709
Lundi;18/12/2023;20231218;20:00:00;HLB;0%;0,26106218
Lundi;18/12/2023;20231218;20:30:00;HLB;0%;0,118664627
Lundi;18/12/2023;20231218;21:00:00;HLB;0%;0
Lundi;18/12/2023;20231218;21:30:00;HLB;0%;0
Lundi;18/12/2023;20231218;08:00:00;Help Desk;0%;0,031011023
Lundi;18/12/2023;20231218;08:30:00;Help Desk;0%;0,050208322
Lundi;18/12/2023;20231218;09:00:00;Help Desk;1%;0,38837614
Lundi;18/12/2023;20231218;09:30:00;Help Desk;6%;1,554981277
Lundi;18/12/2023;20231218;10:00:00;Help Desk;7%;1,900532672
Lundi;18/12/2023;20231218;10:30:00;Help Desk;7%;1,826696904
Lundi;18/12/2023;20231218;11:00:00;Help Desk;7%;1,896102526
Lundi;18/12/2023;20231218;11:30:00;Help Desk;6%;1,683455514
Lundi;18/12/2023;20231218;12:00:00;Help Desk;4%;1,049944623
Lundi;18/12/2023;20231218;12:30:00;Help Desk;2%;0,655661621
Lundi;18/12/2023;20231218;13:00:00;Help Desk;3%;0,729497389
Lundi;18/12/2023;20231218;13:30:00;Help Desk;3%;0,956911555
Lundi;18/12/2023;20231218;14:00:00;Help Desk;7%;1,826696904
Lundi;18/12/2023;20231218;14:30:00;Help Desk;7%;1,944834133
Lundi;18/12/2023;20231218;15:00:00;Help Desk;7%;1,947787564
Lundi;18/12/2023;20231218;15:30:00;Help Desk;7%;1,844417489
Lundi;18/12/2023;20231218;16:00:00;Help Desk;6%;1,686408945
Lundi;18/12/2023;20231218;16:30:00;Help Desk;5%;1,518063393
Lundi;18/12/2023;20231218;17:00:00;Help Desk;5%;1,315753389
Lundi;18/12/2023;20231218;17:30:00;Help Desk;4%;1,218290175
Lundi;18/12/2023;20231218;18:00:00;Help Desk;3%;0,967248563
Lundi;18/12/2023;20231218;18:30:00;Help Desk;2%;0,606930014
