Jour;Date;Date_Format_1;Flux;Commande;Capacitaire
Mercredi;22/03/2023;20230322;HLB;325;496,1167596
Mercredi;22/03/2023;20230322;Help Desk;17;0
Jeudi;23/03/2023;20230323;HLB;311;478,6573176
Jeudi;23/03/2023;20230323;Help Desk;17;0
Vendredi;24/03/2023;20230324;HLB;310;446,9617152
Vendredi;24/03/2023;20230324;Help Desk;17;0
Samedi;25/03/2023;20230325;HLB;205;235,03095
Samedi;25/03/2023;20230325;Help Desk;11;0
Dimanche;26/03/2023;20230326;HLB;0;0
Dimanche;26/03/2023;20230326;Help Desk;0;0
Lundi;27/03/2023;20230327;HLB;396;486,666684
Lundi;27/03/2023;20230327;Help Desk;21;0
Mardi;28/03/2023;20230328;HLB;334;449,30592
Mardi;28/03/2023;20230328;Help Desk;18;0
Mercredi;29/03/2023;20230329;HLB;341;451,015236
Mercredi;29/03/2023;20230329;Help Desk;18;0
Jeudi;30/03/2023;20230330;HLB;326;435,143016
Jeudi;30/03/2023;20230330;Help Desk;17;0
Vendredi;31/03/2023;20230331;HLB;325;406,328832
Vendredi;31/03/2023;20230331;Help Desk;17;0
Samedi;01/04/2023;20230401;HLB;215;213,6645
Samedi;01/04/2023;20230401;Help Desk;12;0
Dimanche;02/04/2023;20230402;HLB;0;0
Dimanche;02/04/2023;20230402;Help Desk;0;0
Lundi;03/04/2023;20230403;HLB;409;486,666684
Lundi;03/04/2023;20230403;Help Desk;19;0
Mardi;04/04/2023;20230404;HLB;346;449,30592
Mardi;04/04/2023;20230404;Help Desk;16;0
Mercredi;05/04/2023;20230405;HLB;353;451,015236
Mercredi;05/04/2023;20230405;Help Desk;17;0
Jeudi;06/04/2023;20230406;HLB;338;435,143016
Jeudi;06/04/2023;20230406;Help Desk;16;0
Vendredi;07/04/2023;20230407;HLB;336;406,328832
Vendredi;07/04/2023;20230407;Help Desk;16;0
Samedi;08/04/2023;20230408;HLB;223;213,6645
Samedi;08/04/2023;20230408;Help Desk;11;0
Dimanche;09/04/2023;20230409;HLB;0;0
Dimanche;09/04/2023;20230409;Help Desk;0;0
Lundi;10/04/2023;20230410;HLB;0;0
Lundi;10/04/2023;20230410;Help Desk;0;0
Mardi;11/04/2023;20230411;HLB;451;449,30592
Mardi;11/04/2023;20230411;Help Desk;21;0
Mercredi;12/04/2023;20230412;HLB;417;451,015236
Mercredi;12/04/2023;20230412;Help Desk;20;0
Jeudi;13/04/2023;20230413;HLB;394;435,143016
Jeudi;13/04/2023;20230413;Help Desk;19;0
Vendredi;14/04/2023;20230414;HLB;387;406,328832
Vendredi;14/04/2023;20230414;Help Desk;18;0
Samedi;15/04/2023;20230415;HLB;259;213,6645
Samedi;15/04/2023;20230415;Help Desk;12;0
Dimanche;16/04/2023;20230416;HLB;0;0
Dimanche;16/04/2023;20230416;Help Desk;0;0
Lundi;17/04/2023;20230417;HLB;416;486,666684
Lundi;17/04/2023;20230417;Help Desk;20;0
Mardi;18/04/2023;20230418;HLB;351;449,30592
Mardi;18/04/2023;20230418;Help Desk;17;0
Mercredi;19/04/2023;20230419;HLB;358;451,015236
Mercredi;19/04/2023;20230419;Help Desk;17;0
Jeudi;20/04/2023;20230420;HLB;343;435,143016
Jeudi;20/04/2023;20230420;Help Desk;16;0
Vendredi;21/04/2023;20230421;HLB;342;406,328832
Vendredi;21/04/2023;20230421;Help Desk;16;0
Samedi;22/04/2023;20230422;HLB;226;213,6645
Samedi;22/04/2023;20230422;Help Desk;11;0
Dimanche;23/04/2023;20230423;HLB;0;0
Dimanche;23/04/2023;20230423;Help Desk;0;0
Lundi;24/04/2023;20230424;HLB;423;535,3333524
Lundi;24/04/2023;20230424;Help Desk;20;0
Mardi;25/04/2023;20230425;HLB;357;494,236512
Mardi;25/04/2023;20230425;Help Desk;17;0
Mercredi;26/04/2023;20230426;HLB;364;496,1167596
Mercredi;26/04/2023;20230426;Help Desk;17;0
Jeudi;27/04/2023;20230427;HLB;349;478,6573176
Jeudi;27/04/2023;20230427;Help Desk;16;0
Vendredi;28/04/2023;20230428;HLB;347;446,9617152
Vendredi;28/04/2023;20230428;Help Desk;16;0
Samedi;29/04/2023;20230429;HLB;230;235,03095
Samedi;29/04/2023;20230429;Help Desk;11;0
Dimanche;30/04/2023;20230430;HLB;0;0
Dimanche;30/04/2023;20230430;Help Desk;0;0
Lundi;01/05/2023;20230501;HLB;0;0
Lundi;01/05/2023;20230501;Help Desk;0;0
Mardi;02/05/2023;20230502;HLB;410;494,236512
