Jour;Date;Date_Format_1;Flux;Sous_Flux;Commande;Capacitaire
Mardi;31/01/2023;20230131;Open;Mobile;542;5794,996235
Mardi;31/01/2023;20230131;Open;Premium;0;0
Mercredi;01/02/2023;20230201;DART;Convergents;773;0
Mercredi;01/02/2023;20230201;DART;Mobile;167;0
Mercredi;01/02/2023;20230201;Open;ADSL;2002;0
Mercredi;01/02/2023;20230201;Open;Fibre;1693;0
Mercredi;01/02/2023;20230201;Open;Mobile;597;5947,016778
Mercredi;01/02/2023;20230201;Open;Premium;0;0
Jeudi;02/02/2023;20230202;DART;Convergents;697;0
Jeudi;02/02/2023;20230202;DART;Mobile;156;0
Jeudi;02/02/2023;20230202;Open;ADSL;1804;0
Jeudi;02/02/2023;20230202;Open;Fibre;1540;0
Jeudi;02/02/2023;20230202;Open;Mobile;556;5241,445652
Jeudi;02/02/2023;20230202;Open;Premium;0;0
Vendredi;03/02/2023;20230203;DART;Convergents;706;0
Vendredi;03/02/2023;20230203;DART;Mobile;153;0
Vendredi;03/02/2023;20230203;Open;ADSL;1830;0
Vendredi;03/02/2023;20230203;Open;Fibre;1571;0
Vendredi;03/02/2023;20230203;Open;Mobile;547;5084,332714
Vendredi;03/02/2023;20230203;Open;Premium;0;0
Samedi;04/02/2023;20230204;DART;Convergents;441;0
Samedi;04/02/2023;20230204;DART;Mobile;98;0
Samedi;04/02/2023;20230204;Open;ADSL;1141;0
Samedi;04/02/2023;20230204;Open;Fibre;966;0
Samedi;04/02/2023;20230204;Open;Mobile;352;3205,142208
Samedi;04/02/2023;20230204;Open;Premium;0;0
Dimanche;05/02/2023;20230205;DART;Convergents;0;0
Dimanche;05/02/2023;20230205;DART;Mobile;0;0
Dimanche;05/02/2023;20230205;Open;ADSL;0;0
Dimanche;05/02/2023;20230205;Open;Fibre;0;0
Dimanche;05/02/2023;20230205;Open;Mobile;0;0
Lundi;06/02/2023;20230206;DART;Convergents;1040;0
Lundi;06/02/2023;20230206;DART;Mobile;224;0
Lundi;06/02/2023;20230206;Open;ADSL;2373;0
Lundi;06/02/2023;20230206;Open;Fibre;1974;0
Lundi;06/02/2023;20230206;Open;Mobile;738;6246,561888
Lundi;06/02/2023;20230206;Open;Premium;0;0
Mardi;07/02/2023;20230207;DART;Convergents;896;0
Mardi;07/02/2023;20230207;DART;Mobile;197;0
Mardi;07/02/2023;20230207;Open;ADSL;2044;0
Mardi;07/02/2023;20230207;Open;Fibre;1726;0
Mardi;07/02/2023;20230207;Open;Mobile;649;6084,988718
Mardi;07/02/2023;20230207;Open;Premium;0;0
Mercredi;08/02/2023;20230208;DART;Convergents;924;0
Mercredi;08/02/2023;20230208;DART;Mobile;194;0
Mercredi;08/02/2023;20230208;Open;ADSL;2108;0
Mercredi;08/02/2023;20230208;Open;Fibre;1790;0
Mercredi;08/02/2023;20230208;Open;Mobile;637;6225,409218
Mercredi;08/02/2023;20230208;Open;Premium;0;0
Jeudi;09/02/2023;20230209;DART;Convergents;833;0
Jeudi;09/02/2023;20230209;DART;Mobile;180;0
Jeudi;09/02/2023;20230209;Open;ADSL;1901;0
Jeudi;09/02/2023;20230209;Open;Fibre;1628;0
Jeudi;09/02/2023;20230209;Open;Mobile;593;5508,980096
Jeudi;09/02/2023;20230209;Open;Premium;0;0
Vendredi;10/02/2023;20230210;DART;Convergents;845;0
Vendredi;10/02/2023;20230210;DART;Mobile;177;0
Vendredi;10/02/2023;20230210;Open;ADSL;1929;0
Vendredi;10/02/2023;20230210;Open;Fibre;1661;0
Vendredi;10/02/2023;20230210;Open;Mobile;582;5390,909076
Vendredi;10/02/2023;20230210;Open;Premium;0;0
Samedi;11/02/2023;20230211;DART;Convergents;526;0
Samedi;11/02/2023;20230211;DART;Mobile;114;0
Samedi;11/02/2023;20230211;Open;ADSL;1201;0
Samedi;11/02/2023;20230211;Open;Fibre;1022;0
Samedi;11/02/2023;20230211;Open;Mobile;376;3399,245676
Samedi;11/02/2023;20230211;Open;Premium;0;0
Dimanche;12/02/2023;20230212;DART;Convergents;0;0
Dimanche;12/02/2023;20230212;DART;Mobile;0;0
Dimanche;12/02/2023;20230212;Open;ADSL;0;0
Dimanche;12/02/2023;20230212;Open;Fibre;0;0
Dimanche;12/02/2023;20230212;Open;Mobile;0;0
Lundi;13/02/2023;20230213;DART;Convergents;1115;0
Lundi;13/02/2023;20230213;DART;Mobile;310;0
Lundi;13/02/2023;20230213;Open;ADSL;2327;0
Lundi;13/02/2023;20230213;Open;Fibre;1989;0
Lundi;13/02/2023;20230213;Open;Mobile;706;6044,900255
Lundi;13/02/2023;20230213;Open;Premium;0;0
Mardi;14/02/2023;20230214;DART;Convergents;959;0
Mardi;14/02/2023;20230214;DART;Mobile;273;0
Mardi;14/02/2023;20230214;Open;ADSL;2004;0
Mardi;14/02/2023;20230214;Open;Fibre;1739;0
Mardi;14/02/2023;20230214;Open;Mobile;621;5924,825506
Mardi;14/02/2023;20230214;Open;Premium;0;0
Mercredi;15/02/2023;20230215;DART;Convergents;991;0
Mercredi;15/02/2023;20230215;DART;Mobile;267;0
Mercredi;15/02/2023;20230215;Open;ADSL;2068;0
Mercredi;15/02/2023;20230215;Open;Fibre;1804;0
Mercredi;15/02/2023;20230215;Open;Mobile;609;5921,822893
Mercredi;15/02/2023;20230215;Open;Premium;0;0
Jeudi;16/02/2023;20230216;DART;Convergents;893;0
Jeudi;16/02/2023;20230216;DART;Mobile;249;0
Jeudi;16/02/2023;20230216;Open;ADSL;1863;0
Jeudi;16/02/2023;20230216;Open;Fibre;1640;0
Jeudi;16/02/2023;20230216;Open;Mobile;568;5099,875342
Jeudi;16/02/2023;20230216;Open;Premium;0;0
Vendredi;17/02/2023;20230217;DART;Convergents;905;0
Vendredi;17/02/2023;20230217;DART;Mobile;245;0
Vendredi;17/02/2023;20230217;Open;ADSL;1890;0
Vendredi;17/02/2023;20230217;Open;Fibre;1674;0
Vendredi;17/02/2023;20230217;Open;Mobile;558;4775,558672
Vendredi;17/02/2023;20230217;Open;Premium;0;0
Samedi;18/02/2023;20230218;DART;Convergents;564;0
Samedi;18/02/2023;20230218;DART;Mobile;158;0
Samedi;18/02/2023;20230218;Open;ADSL;1179;0
Samedi;18/02/2023;20230218;Open;Fibre;1030;0
Samedi;18/02/2023;20230218;Open;Mobile;359;3023,561545
Samedi;18/02/2023;20230218;Open;Premium;0;0
Dimanche;19/02/2023;20230219;DART;Convergents;0;0
Dimanche;19/02/2023;20230219;DART;Mobile;0;0
Dimanche;19/02/2023;20230219;Open;ADSL;0;0
Dimanche;19/02/2023;20230219;Open;Fibre;0;0
Dimanche;19/02/2023;20230219;Open;Mobile;0;0
Lundi;20/02/2023;20230220;DART;Convergents;1115;0
Lundi;20/02/2023;20230220;DART;Mobile;299;0
Lundi;20/02/2023;20230220;Open;ADSL;2293;0
Lundi;20/02/2023;20230220;Open;Fibre;1929;0
Lundi;20/02/2023;20230220;Open;Mobile;670;5376,818769
Lundi;20/02/2023;20230220;Open;Premium;0;0
Mardi;21/02/2023;20230221;DART;Convergents;959;0
Mardi;21/02/2023;20230221;DART;Mobile;263;0
Mardi;21/02/2023;20230221;Open;ADSL;1974;0
Mardi;21/02/2023;20230221;Open;Fibre;1687;0
Mardi;21/02/2023;20230221;Open;Mobile;588;5234,424991
Mardi;21/02/2023;20230221;Open;Premium;0;0
Mercredi;22/02/2023;20230222;DART;Convergents;991;0
Mercredi;22/02/2023;20230222;DART;Mobile;257;0
Mercredi;22/02/2023;20230222;Open;ADSL;2036;0
Mercredi;22/02/2023;20230222;Open;Fibre;1750;0
Mercredi;22/02/2023;20230222;Open;Mobile;578;5411,646702
Mercredi;22/02/2023;20230222;Open;Premium;0;0
Jeudi;23/02/2023;20230223;DART;Convergents;893;0
Jeudi;23/02/2023;20230223;DART;Mobile;240;0
