Date_Format_1;Flux;Sous_Flux;Abandons;Appels_abandon_sur_sonnerie;Appels_courts;Appels_mis_en_attente;Appels_rotation_sur_sonnerie;Appels_traites;Capacitaire;Commande;Courts;DAbd;DR;Dissuades;Duree_THC;Duree_conversation_appels_entrants;Duree_dispo_CC;Duree_garde_appels_entrants;Duree_log_face_au_client;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_pas_libre;Duree_pause_entre_appels;Duree_traitement;Duree_wrapup;Presentes;Presentes_ELI;Prevision;Traites;Traites_ELI;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230106;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;DART;Mobile;0,0;0,0;0,0;4,0;0,0;5,0;0,0;0,0;0,0;0,0;2,0;0,0;1233,2579;7088,0;16787,0;1509,0;35477,5;18690,5;45010,0;1366,0158;59,7579;9963,0158;73,0;2,0;0,0;0,0;2,0;0,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;Open;ADSL;13,0;0,0;0,0;0,0;0,0;0,0;0,0;2160,0;12,0;1693,0;17062,0;23,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1587,0;235,0;2400,0;1538,0;217,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;Open;Fibre;16,0;0,0;0,0;0,0;0,0;0,0;0,0;1844,0;8,0;2882,0;14542,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1786,0;0,0;2048,888888888889;1741,0;0,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;Open;Mobile;5,0;4,0;43,0;2490,0;5,0;4392,0;4961,605128;628,0;0,0;99,0;2516,0;7,0;86176,7421;1802939,0;753389,2153;582786,0;3805877,5092;3052488,2584;4456815,9595;143191,983;11732,242;2528916,9591;45283,0;705,0;0,0;697,7777777777778;685,0;29,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;Open;Premium;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;879,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;421,0;0,0;0,0;414,0;0,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;10,0;0,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;DART;Mobile;0,0;0,0;0,0;4,0;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,0;2912,2639;9481,0;24129,8558;1000,0;48169,6855;24039,8297;62829,8369;3334,7905;97,5264;13815,7903;325,0;3,0;0,0;0,0;3,0;0,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;Open;ADSL;14,0;0,0;0,0;0,0;0,0;0,0;0,0;1346,0;13,0;3586,0;19234,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1136,0;165,0;1495,5555555555557;1095,0;138,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;Open;Fibre;9,0;0,0;0,0;0,0;0,0;0,0;0,0;1135,0;4,0;579,0;8571,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1189,0;0,0;1261,111111111111;1162,0;0,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;Open;Mobile;5,0;2,0;44,0;1566,0;5,0;3033,0;3127,077973;405,0;0,0;228,0;5474,0;10,0;59724,361300000004;1232367,0;789896,0024;338075,0;2853690,0246;2063794,0364;3244437,8897;100404,9593;8677,5988;1670846,9261;32003,0;535,0;0,0;450,0;513,0;24,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107;Open;Premium;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;10,0;815,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;250,0;0,0;0,0;249,0;0,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108;DART;Mobile;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108;Open;ADSL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108;Open;Fibre;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108;Open;Mobile;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,1817;0,0;4715,0275;0,0;5310,6094;595,5818;5622,2004;22,2727;3,0906;22,2727;0,0;0,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230109;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;57,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;0,0;18,0;0,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;DART;Mobile;0,0;1,0;0,0;13,0;0,0;23,0;0,0;0,0;0,0;0,0;3,0;0,0;2562,6973;18381,0;20844,358799999998;2793,0;54780,3357;33935,9766;71230,4354;4137,8346;107,1375;25311,8345;1468,0;5,0;0,0;0,0;5,0;0,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;Open;ADSL;22,0;0,0;0,0;0,0;0,0;0,0;0,0;2271,0;18,0;422,0;20235,0;25,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2042,0;309,0;2523,3333333333335;1973,0;295,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;Open;Fibre;23,0;0,0;0,0;0,0;0,0;0,0;0,0;1886,0;12,0;339,0;8351,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2306,0;0,0;2095,5555555555557;2237,0;0,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;Open;Mobile;9,0;8,0;55,0;3210,0;21,0;5538,0;6053,56057;633,0;0,0;542,0;2640,0;7,0;115724,1198;2206824,0;1009806,5843;785721,0;4873002,6242;3863196,0428;5647518,244;189497,7303;15332,6079;3182042,685;58441,0;870,0;0,0;703,3333333333334;843,0;36,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230109;Open;Premium;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;3,0;820,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;468,0;0,0;0,0;461,0;0,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;162,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0;0,0;0,0;19,0;0,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;75,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,33333333333334;0,0;0,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;DART;Mobile;0,0;0,0;0,0;16,0;0,0;25,0;0,0;17,0;0,0;0,0;77,0;0,0;1403,0556;13447,0;13565,067;3991,0;43079,7837;29514,7166;49399,5882;2763,2727;92,2171;20201,2725;1268,0;6,0;0,0;18,88888888888889;6,0;0,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;Open;ADSL;24,0;0,0;0,0;0,0;0,0;0,0;0,0;1954,0;16,0;94,0;10384,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1899,0;301,0;2171,1111111111113;1838,0;288,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
