Date_Format_1;Appels_traites;Capacitaire;Chorus;Commande;Courts;DUREE;Den_Satisfaction_Decouverte;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_retrait_formation;Duree_retrait_management;Duree_retrait_pause;Etoile_1;Etoile_2;Etoile_3;Etoile_4;Etoile_5;H_ABS_ABS;H_PLA_ABS;H_REA_ABS;Hagrid;Happy;NbCas;NbScript;NbreAppelTraite;NbreTransfertsAccompAveug;Nbre_Tracage_ND;Presentes;Prevision;Reit1J;Reit1h;Reit7J;Reit7J_7;Satisfaction_Decouverte;Traites;exploitables;exploitables_7;exploitables_Tracage;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230121,0;2779,0;3263,581962;0,0;2564,0;15,0;228180,0;105,0;1129764,727;1821008,7199;3307625,4489;654,0;27486,0;238633,0;12,0;2,0;6,0;19,0;80,0;242,5337;1226,0;983,4663;5,0;35,0;0,0;0,0;2766,0;143,0;0,0;2854,0;2848,888888888889;176,0;112,0;542,0;542,0;46,0;2778,0;2679,0;2679,0;2611,0;21/01/2023;Samedi;Janvier;S03;2023;2023-Sem03;2023 - T1
20230122,0;0,0;0,0;0,0;0,0;0,0;0,0;111,0;16,1818;41,2727;81,8182;0,0;0,0;0,0;12,0;4,0;3,0;17,0;88,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;60,0;0,0;0,0;0,0;0,0;22/01/2023;Dimanche;Janvier;S03;2023;2023-Sem03;2023 - T1
20230123,0;4963,0;5950,873972;2,0;5178,0;19,0;1810680,0;127,0;1776491,4538;3316106,1244;5778739,5418;12258,0;113606,0;416459,0;8,0;1,0;4,0;25,0;105,0;297,7666;2666,0;2368,2334;13,0;111,0;0,0;0,0;4959,0;337,0;0,0;5103,0;5753,333333333334;438,0;181,0;977,0;977,0;69,0;4977,0;4782,0;4782,0;4629,0;23/01/2023;Lundi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230124,0;4798,0;5819,263389;2,0;4492,0;26,0;1282680,0;54,0;1397474,6187;3102441,3476;5090608,4198;31968,0;72337,0;364803,0;6,0;1,0;3,0;16,0;34,0;283,7829;2297,0;2013,2171;11,0;79,0;0,0;0,0;4794,0;325,0;0,0;4911,0;4991,111111111111;412,0;186,0;923,0;923,0;24,0;4812,0;4658,0;4658,0;4415,0;24/01/2023;Mardi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230125,0;5104,0;6277,056684;2,0;4614,0;36,0;1192740,0;106,0;1301726,0;3359375,0;5305214,0;5085,0;99120,0;384067,0;9,0;3,0;4,0;14,0;89,0;372,5499;2353,0;1980,4501;11,0;72,0;0,0;0,0;5095,0;334,0;0,0;5322,0;5126,666666666666;455,0;229,0;983,0;983,0;64,0;5154,0;4949,0;4949,0;4748,0;25/01/2023;Mercredi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230126,0;4454,0;5535,733541;1,0;4192,0;26,0;1221240,0;147,0;1431065,7731;2889622,4371;4905995,6659;20089,0;94199,0;340220,0;10,0;5,0;6,0;22,0;120,0;348,5499;2228,5;1879,9501;6,0;63,0;0,0;0,0;4448,0;378,0;0,0;4676,0;4657,777777777778;385,0;170,0;820,0;820,0;75,0;4544,0;4270,0;4270,0;3921,0;26/01/2023;Jeudi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230127,0;4518,0;5456,839476;1,0;4244,0;21,0;811200,0;101,0;1166697,8655;2981357,1135;4716904,7987;33184,0;66553,0;346860,0;8,0;3,0;6,0;18,0;80,0;428,0163;2136,0;1707,9837;7,0;78,0;0,0;0,0;4515,0;329,0;0,0;4758,0;4715,555555555556;330,0;172,0;855,0;855,0;47,0;4637,0;4359,0;4359,0;4084,0;27/01/2023;Vendredi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230128,0;2465,0;3440,988357;2,0;2645,0;13,0;362940,0;102,0;1379852,7269;1561425,8357;3289201,5618;2095,0;28171,0;240311,0;9,0;2,0;7,0;19,0;82,0;259,7;1266,0;1006,3;5,0;40,0;0,0;0,0;2465,0;172,0;0,0;2522,0;2938,8888888888887;167,0;102,0;514,0;514,0;57,0;2465,0;2362,0;2362,0;2267,0;28/01/2023;Samedi;Janvier;S04;2023;2023-Sem04;2023 - T1
20230129,0;0,0;0,0;0,0;0,0;0,0;0,0;123,0;1762,1818;305,0001;2398,7273;0,0;0,0;0,0;11,0;4,0;7,0;22,0;97,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;69,0;0,0;0,0;0,0;0,0;29/01/2023;Dimanche;Janvier;S04;2023;2023-Sem04;2023 - T1
20230130,0;5526,0;5908,809582;3,0;5667,0;25,0;1281060,0;98,0;1629084,4606;3534238,1204;5910689,7509;10346,0;191721,0;415042,0;9,0;2,0;2,0;18,0;79,0;445,3499;2730,0;2284,6501;7,0;81,0;0,0;0,0;5522,0;306,0;0,0;5762,0;6296,666666666668;478,0;225,0;1035,0;1035,0;49,0;5637,0;5313,0;5313,0;5060,0;30/01/2023;Lundi;Janvier;S05;2023;2023-Sem05;2023 - T1
20230131,0;6757,0;5794,996235;1,0;4916,0;39,0;741300,0;41,0;714395,0005;4203658,4459999995;5560015,8346;2814,0;70242,0;391587,0;4,0;3,0;5,0;11,0;28,0;366,0496;2361,0;1994,9504;4,0;66,0;0,0;0,0;6749,0;343,0;0,0;7090,0;5462,222222222223;631,0;284,0;1329,0;1329,0;17,0;6723,0;6500,0;6500,0;5976,0;31/01/2023;Mardi;Janvier;S05;2023;2023-Sem05;2023 - T1
20230201,0;5384,0;5947,016778;2,0;5232,0;21,0;741060,0;106,0;1259844,7183;3604682,0222;5634445,5302;2626,0;188885,0;408695,0;8,0;5,0;4,0;13,0;92,0;423,6499;2427,0;2003,3500999999999;7,0;72,0;0,0;0,0;5380,0;265,0;0,0;5470,0;5813,333333333333;471,0;213,0;1069,0;1069,0;59,0;5376,0;5218,0;5218,0;4800,0;01/02/2023;Mercredi;Février;S05;2023;2023-Sem05;2023 - T1
