Date;Matricule;Activite;Campagne;Heures_Connecte;Heures_Pause;Heures_Brief;Heures_FC;Heures_Dispo;Chiffre_Affaire;Appels_traitees;Connexion;Heures_Productives;Heures_Realisees;Appels_Transfert;NB_1Etoile;NB_2Etoile;NB_3Etoile;NB_4Etoile;NB_5Etoile;Appels_reiit_7j;Appels_reiit_1h;Appels_exploitable;Duree_traitement;Ventes;Appels_Recu
19/02/2024;MAA016794;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,843611382378473;0,3827777777777778;0,2688888888888889;0,0;0,5077777608235677;80,34;26,0;8,843611382378473;6,700833062065972;8,7667;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,0;24,0;24122,9990234375;4,0;0,0
19/02/2024;MAA016827;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,881111111111111;0,6119444444444444;0,1963888888888889;0,0;0,49333333333333335;71,07;23,0;7,881111111111111;6,579444444444445;7,8667;1,0;0,0;0,0;0,0;0,0;2,0;5,0;0,0;22,0;23686,0;0,0;0,0
19/02/2024;MAA017043;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA017573;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA017702;PAL_ORANGE OPEN;PAL_ORANGE OPEN;9,031666802300347;0,7080555555555555;0,0;0,0;1,4183333757188585;64,89;21,0;9,031666802300347;6,905277913411458;8,3667;1,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;21,0;24859,00048828125;14,0;0,0
19/02/2024;MAA017918;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,439166666666667;0,8288888888888889;0,4036111111111111;0,0;0,4938888888888889;98,88;32,0;8,439166666666667;5,937222222222222;8,4667;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;30,0;21374,0;4,0;0,0
19/02/2024;MAA018068;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA018156;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,8005555555555555;0,5766666666666667;0,04472222222222222;0,08944444444444444;0,45611111111111113;74,16;24,0;6,8005555555555555;4,9075;7,6333;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;24,0;17667,0;2,0;0,0
19/02/2024;MAA018206;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,7336111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA018325;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA018439;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,964722315470378;0,0;0,0;0,0;0,2616666497124566;105,06;34,0;6,964722315470378;6,703055920071072;8,6;0,0;0,0;0,0;0,0;0,0;0,0;6,0;1,0;33,0;24131,00131225586;0,0;0,0
19/02/2024;MAA018563;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,794166768391927;0,8072222222222222;1,2455555555555555;0,0;0,3330555608537462;114,33;37,0;7,794166768391927;4,8336113442315;7,8;3,0;0,0;0,0;0,0;0,0;0,0;10,0;4,0;35,0;17401,0008392334;1,0;0,0
19/02/2024;MAA019124;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,837222312688827;0,7255555555555555;0,03333333333333333;0,0;0,4619444613986545;108,14999999999999;35,0;6,837222312688827;5,616388979355494;6,8167;0,0;0,0;0,0;0,0;0,0;1,0;5,0;1,0;35,0;20219,00032567978;5,0;0,0
19/02/2024;MAA019345;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,5080558268229165;0,20777777777777778;1,5730555555555557;0,0;0,12444444338480633;92,69999999999999;30,0;6,5080558268229165;4,251111023161147;7,9167;3,0;0,0;0,0;0,0;0,0;0,0;6,0;2,0;29,0;15303,999683380127;3,0;0,0
19/02/2024;MAA019700;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,71111111111111;0,6944444444444444;0,0;0,0;0,5919444444444445;117,41999999999999;38,0;8,71111111111111;7,349166666666668;8,7;2,0;0,0;0,0;0,0;0,0;0,0;7,0;2,0;37,0;26457,0;2,0;0,0
19/02/2024;MAA019809;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,265833333333333;0,21333333333333335;0,0325;0,0;0,3983333333333333;101,97;33,0;6,265833333333333;5,621666666666667;8,6667;0,0;0,0;0,0;0,0;0,0;0,0;5,0;1,0;30,0;20238,0;4,0;0,0
19/02/2024;MAA019835;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,889444444444445;0,9477777777777778;0,1575;0,0;0,5552777777777778;117,41999999999999;38,0;8,889444444444445;6,990555555555554;9,0;2,0;0,0;0,0;1,0;0,0;0,0;6,0;2,0;36,0;25166,0;1,0;0,0
19/02/2024;MAA019865;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,229722408718533;0,7811111111111111;0,32666666666666666;0,0;0,28249999857611124;123,6;40,0;8,229722408718533;6,698055284288195;8,25;0,0;0,0;0,0;0,0;0,0;0,0;6,0;1,0;40,0;24112,9990234375;1,0;0,0
19/02/2024;MAA019868;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA019877;PAL_ORANGE OPEN;PAL_ORANGE OPEN;9,133611111111112;0,3988888888888889;0,0;0,0;0,8472222222222222;157,59;51,0;9,133611111111112;7,887500000000001;7,8833;1,0;0,0;0,0;0,0;0,0;2,0;10,0;4,0;44,0;28395,0;4,0;0,0
19/02/2024;MAA019907;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA019909;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,685;0,745;0,36333333333333334;0,0;0,40305555555555556;92,69999999999999;30,0;8,685;7,173611111111111;8,6667;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;29,0;25825,0;4,0;0,0
19/02/2024;MAA019926;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,6702783203125;0,565;0,0;0,0;0,5922221883138021;120,50999999999999;39,0;8,6702783203125;7,513054970635309;8,8;3,0;0,0;0,0;0,0;0,0;1,0;9,0;1,0;39,0;27046,99789428711;0,0;0,0
19/02/2024;MAA019967;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,945555555555556;1,101388888888889;0,21027777777777779;0,0;0,6213888888888889;120,50999999999999;39,0;7,945555555555556;5,824999999999999;8,05;0,0;0,0;0,0;0,0;0,0;3,0;5,0;0,0;35,0;20970,0;3,0;0,0
19/02/2024;MAA019980;PAL_ORANGE OPEN;PAL_ORANGE OPEN;5,9614504157172306;0,8541666666666666;0,6152777777777778;0,0;0,2013888888888889;64,89;21,0;5,9614504157172306;3,741172858344183;7,35;0,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;21,0;13468,222290039062;0,0;0,0
19/02/2024;MAA020073;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,135277777777778;0,6102777777777778;0,0;0,0;0,39861111111111114;77,25;25,0;7,135277777777778;5,685277777777777;9,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;24,0;20467,0;3,0;0,0
19/02/2024;MAA020100;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,887777777777778;0,6966666666666667;0,010833333333333334;0,0;1,1866666666666668;105,06;34,0;6,887777777777778;4,758055555555556;6,85;4,0;1,0;0,0;0,0;0,0;0,0;8,0;2,0;31,0;17129,0;4,0;0,0
19/02/2024;MAA020113;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020114;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,814166666666667;0,5691666666666667;1,0441666666666667;0,0;0,4444444444444444;71,07;23,0;6,814166666666667;4,476388888888889;6,75;2,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;23,0;16115,0;1,0;0,0
19/02/2024;MAA020190;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020191;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,199166666666667;1,0238888888888888;0,0;0,0;0,6669444444444445;120,50999999999999;39,0;8,199166666666667;6,508333333333333;8,2;3,0;0,0;0,0;0,0;0,0;1,0;9,0;2,0;36,0;23430,0;5,0;0,0
19/02/2024;MAA020202;PAL_ORANGE OPEN;PAL_ORANGE OPEN;2,381666666666667;0,24416666666666667;0,0;0,0;0,2602777777777778;24,72;8,0;2,381666666666667;1,8725000000000003;3,1333;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;7,0;6741,0;2,0;0,0
19/02/2024;MAA020237;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,678333333333333;0,4797222222222222;0,37027777777777776;0,0;0,55;126,69;41,0;8,678333333333333;7,278333333333332;8,6667;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,0;37,0;26202,0;1,0;0,0
19/02/2024;MAA020238;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020251;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,860277596579658;0,5308333333333334;0,035;0,0;0,28611111680666607;114,33;37,0;7,860277596579658;6,92638897922304;7,8833;4,0;0,0;0,0;0,0;0,0;0,0;5,0;1,0;36,0;24935,000325202942;1,0;0,0
19/02/2024;MAA020264;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,927222222222222;0,2941666666666667;0,0;0,5447222222222222;0,3194444444444444;71,07;23,0;7,927222222222222;6,308055555555556;7,7667;6,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;21,0;22709,0;2,0;0,0
19/02/2024;MAA020265;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,488055555555556;0,5038888888888889;0,0;0,46055555555555555;0,5313888888888889;67,97999999999999;22,0;8,488055555555556;6,816666666666666;8,5;1,0;0,0;0,0;0,0;0,0;1,0;6,0;3,0;21,0;24540,0;1,0;0,0
19/02/2024;MAA020338;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,9227774386935765;0,5;0,09777777777777778;0,0;0,3463888888888889;101,97;33,0;6,9227774386935765;5,634166531032986;8,7;4,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;32,0;20282,99951171875;6,0;0,0
19/02/2024;MAA020346;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,109722222222222;0,9130555555555555;0,91;0,0008333333333333334;0,6858333333333333;98,88;32,0;8,109722222222222;5,203055555555555;8,75;3,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;32,0;18731,0;2,0;0,0
19/02/2024;MAA020353;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,097777777777777;0,5716666666666667;0,0;0,0;0,6333333333333333;89,61;29,0;8,097777777777777;6,411666666666667;8,1;0,0;0,0;0,0;0,0;0,0;0,0;4,0;1,0;28,0;23082,0;1,0;0,0
19/02/2024;MAA020380;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020389;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,983611382378472;0,7661111111111111;0,5861111111111111;0,0;0,4866666497124566;160,68;52,0;8,983611382378472;6,859166395399306;9,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;2,0;51,0;24692,9990234375;1,0;0,0
19/02/2024;MAA020403;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020416;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020422;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,695832926432292;0,6269444444444444;0,0;0,0;2,495555487738715;111,24;36,0;7,695832926432292;4,573333062065972;7,7167;3,0;0,0;0,0;0,0;0,0;1,0;7,0;3,0;36,0;16463,9990234375;4,0;0,0
19/02/2024;MAA020429;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,97249972873264;0,7541666666666667;0,10194444444444445;0,0;0,46805555555555556;123,6;40,0;8,97249972873264;6,796388617621528;9,0;8,0;0,0;0,0;0,0;1,0;0,0;6,0;0,0;40,0;24466,9990234375;3,0;0,0
19/02/2024;MAA020445;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,805555352105035;0,8202777777777778;0,08388888888888889;0,0008333333333333334;0,4491666724946764;151,41;49,0;8,805555352105035;6,7030556572808155;8,85;2,0;0,0;0,0;0,0;0,0;1,0;11,0;4,0;48,0;24131,000366210938;2,0;0,0
19/02/2024;MAA020449;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,779722086588542;0,7922222222222223;1,1080555555555556;0,0;3,584444647894965;89,61;29,0;8,779722086588542;2,9783334689670133;8,8167;2,0;0,0;0,0;0,0;0,0;1,0;10,0;1,0;29,0;10722,00048828125;11,0;0,0
19/02/2024;MAA020470;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,764166666666667;0,3933333333333333;0,6694444444444444;0,0;0,39805555555555555;126,69;41,0;7,764166666666667;6,3033335198296445;9,0;1,0;0,0;0,0;0,0;0,0;3,0;4,0;2,0;40,0;22692,00067138672;4,0;0,0
19/02/2024;MAA020475;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA020526;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
19/02/2024;MAA020527;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,830833502875434;0,5438888888888889;0,0;0,0;0,32;95,78999999999999;31,0;7,830833502875434;6,701666666666667;9,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,0;31,0;24126,0;3,0;0,0
